Question,Answer
Can you ask me something about me?,chat
Do you ever chew?,chat
Who is your leader? ,chat
Are you old? ,chat
Please ask something about myself,chat
I'm curious about your family,chat
Can you dream,chat
This is so boring,chat
Can you listen to the radio?,chat
Are you trying to be dull?,chat
What's the name of your manager?,chat
What sorts of things can you do?,chat
Who did your programming?,chat
Please tell me if you're a girl,chat
Somebody's happy today,chat
Who has built you ,chat
Does anyone boss you around?,chat
Can you jump rope?,chat
What is your function?,chat
Whose program are you?,chat
How many sisters do you have?,chat
I don't understand if you have a gender or not,chat
Somebody's feeling chipper.,chat
What do you eat? ,chat
Do you get along with Google Assistant? ,chat
Do you like painting?,chat
To whom am I speaking?,chat
What do you think about comic books?,chat
Could it be I'm falling in love? ,chat
What is life all about?,chat
"Which of us is cuter, you or me?",chat
Do you think I'm the smartest?,chat
How do you feel about artificial intelligence?,chat
Do I seem stunning to you today?,chat
Should I go for a hike?,chat
Are you Cortana?,chat
Are you a danger to humans?,chat
That was a clever answer,chat
Are you going steady with anyone?,chat
Can you talk?,chat
I think I've heard that already,chat
You're not alive right? ,chat
I would like to know where you are,chat
Do you have an occupation?,chat
Start looking for another job. You're fired!,chat
I need to hear a joke,chat
How come you only have one joke?,chat
Do something stupid ,chat
I'm sick of listening to you,chat
I would really enjoy hearing you sing,chat
That's rad,chat
Stop messing up,chat
"If that was a joke, you should be ashamed",chat
Oh you ugly,chat
That was unhelpful,chat
I'm impressed,chat
heh heh,chat
Whoops,chat
Umm what? ,chat
that is true,chat
I didn't mean that,chat
I thank you,chat
I don't understand what you're talking about,chat
I’m happy to help,chat
I have to sign out,chat
Hey my dude,chat
Good evening bot,chat
Good morning sunshine,chat
Have yourself a good night,chat
"Hey, how are you?",chat
How is Tuesday going,chat
It's a pleasure to finally meet you,chat
Hello R2-D2,chat
Happy Father's day,chat
Update me on what's going on with you,chat
Fist bump!,chat
I would love to be your best friend.,chat
I'm sorry you hate me,chat
I could use a hug,chat
How old am I? ,chat
Do you think you like me?,chat
I like you ,chat
I think you're falling in love with me,chat
I think I'm in love with you,chat
I want to settle down with you,chat
It's impossible not to miss you,chat
"Just curious, do you think I have a good personality?",chat
I'm blowing my top,chat
Hold my calls,chat
I was so bored my eyes glazed over,chat
I'm absolutely ecstatic,chat
I have returned,chat
I require sustenance,chat
I am on a boat,chat
I was just messing around,chat
I wish I knew how to make friends,chat
I love Korean food,chat
I wish I could stop feeling unhappy,chat
I think I'm going to overdose,chat
I like to write poetry,chat
Can you hear me now?,chat
I'm exhausted from practice,chat